asin,title,count(reviews.asin)
B01K5QLD5E,"Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Gold",4
B01K5RGPIS,"Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire",30
B01KS3IAUK,"Samsung Galaxy S7 Edge SM-G935 Unlocked (Latest Model) - 32GB - Silver Titanium",6
B01L1BOQT2,"Apple iPhone SE, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",158
B01L1BOQTW,"Apple iPhone SE, 64GB, Gold - For AT&T / T-Mobile (Renewed)",73
B01L9D7J00,"Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue",50
B01LACBLEK,"Sony Xperia X Compact - Unlocked Smartphone - 32GB - Mist Blue (US Warranty)",176
B01LWICBLN,"Apple iPhone 6S Plus, GSM Unlocked, 32GB - Space Gray (Renewed)",12
B01LYMY88F,"Samsung Galaxy S6 Edge Plus SM-G928V 32GB Gold Smartphone for Verizon (Renewed)",5
B01LYRCMAB,"Samsung Galaxy C7 C7000 32GB 5.7" GSM Unlocked Cellphone (Pink) - International Version No Warranty"",19
B01LZ2SO4L,"Google Pixel Phone 128 GB - 5 inch Display (Factory Unlocked US Version) (Quite Black)",228
B01M01YX15,"Google Pixel Phone - 5 inch display (Factory Unlocked US Version) (32GB, Quite Black)",116
B01M1CTCO0,"Google Pixel XL Phone 128GB - 5.5 inch Display (Factory Unlocked US Version) (Very Silver)",81
B01M1HY1E3,"Sony Xperia XZ F8331 32GB Unlocked GSM 4G LTE Phone w/ 23MP Camera - Mineral Black",134
B01M4HGVJ7,"Samsung Galaxy S7 32GB G930T - T-Mobile Locked - Black Onyx (Renewed)",205
B01M7O431L,"Samsung S7 EDGE G935V 32GB, Verizon/GSM Unlocked, Silver Titanium (Renewed)",149
B01MDMJGYT,"Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5" Screen - 32GB - Black (International Version - No Warranty)"",110
B01MFDM6QE,"Motorola Moto G4 Play (4th Generation) 16GB Unlocked Smartphone for GSM Carriers Worldwide - Black",38
B01MQWFFM3,"APPLE iPhone 6S UNLOCKED - 16GB, Gold (Renewed)",3
B01MR0IA4O,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T (Renewed)",10
B01MRH0YND,"Apple iPhone 6, AT&T, 16GB - Space Gray (Renewed)",310
B01MSEPCPU,"Apple iPhone 7, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",83
B01MT57AVU,"Samsung Galaxy S7 G930T T-Mobile Unlocked GSM 4G LTE Smartphone w/ 12MP Camera - Gold (Renewed)",19
B01MUTETGP,"Apple iPhone 7 Plus, GSM Unlocked, 256GB - Rose Gold (Renewed)",26
B01MY2FEAS,"Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile)",7
B01MY4DGA7,"Samsung Galaxy S7-4G LTE T-Mobile - 32GB Smartphone - Black Onyx (Renewed)",29
B01N02G1C9,"Apple iPhone 6 Plus, AT&T, 128GB - (Renewed)",3
B01N0AOOK1,"Apple iPhone 6 Plus, AT&T, 16GB - Silver (Renewed)",16
B01N1Q6V7K,"Samsung J3 - Verizon Prepaid",29
B01N1SCZ86,"Samsung Galaxy S6 SM-G920T 64GB Gold Smartphone for T-Mobile (Renewed)",40
B01N2YQQW7,"Samsung Galaxy Note 5 N920T 64GB Black Sapphire - T-Mobile",9
B01N4E0RF1,"Samsung Galaxy S7 - Black - 32GB - Verizon (Renewed)",116
B01N4S65YE,"Samsung Galaxy S6 G920T 32GB Gold - T-Mobile (Renewed)",40
B01N4VFJAX,"Samsung Galaxy Note 4 N910P 32GB Charcoal Black - Sprint (Certified Refurbished)",3
B01N5BOBIF,"Google Pixel, 5" 32GB (Verizon Wireless) - Black"",20
B01N5OQDIK,"Samsung Galaxy On5, No Contract, Tracfone Locked Smartphone, Black",13
B01N5WQ2P4,"Samsung Galaxy Note 4 N910P 32GB Frosted White - Sprint (Renewed)",6
B01N6YAP98,"Apple iPhone 7, 32GB, Black - For AT&T / T-Mobile (Renewed)",10
B01N6ZAR0D,"Apple iPhone 7 Plus, 32GB, Rose Gold - For AT&T / T-Mobile (Renewed)",10
B01N9VG61T,"Motorola Moto Z Play Droid XT1635 32GB Black/Silver Verizon Wireless",9
B01N9XOXCK,"Samsung Galaxy S7 Edge G935V 32GB Gold - Verizon (Renewed)",149
B01N9YO1DS,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)",22
B01N9YOVME,"Samsung Galaxy S7 ACTIVE G891A 32GB Unlocked GSM Shatter-Resistant, Extremely Durable Smartphone w/ 12MP Camera - Sandy Gold (Renewed)",111
B01NAZJYO5,"Samsung Galaxy S6, G920P Black Sapphire 32GB - Sprint (Renewed)",44
B01NB1IGR8,"Samsung Galaxy Note 5 32GB N920P Sprint - Sapphire Black (Renewed)",42
B01NBZDKGJ,"Samsung Galaxy S7 G930P 32GB Black Onyx - Sprint (Renewed)",54
B01NC2MEJP,"Samsung Galaxy Note 5 32GB GSM Unlocked - Black (Renewed) (D132)",107
B01NH5HCGZ,"Motorola Moto Z Droid Edition XT1650-01 Gold/White 32GB - Verizon (Renewed)",50
B06VW5FVLB,"Samsung SM-G900V - Galaxy S5-16GB Android Smartphone Verizon - Black (Renewed)",111
B06W2M6RT2,"Samsung Galaxy S7 Edge G935P 32GB Silver - Sprint (Renewed)",19
B06W9L7YJM,"Samsung SM-G900V - Galaxy S5 - 16GB Android Smartphone Verizon - Gold (Renewed)",111
B06WWR3T5B,"Samsung Galaxy S6 G920T 32GB White Pearl - T-Mobile (Renewed)",11
B06X9FGTMN,"Apple iPhone 7 Plus 128GB Unlocked GSM 4G LTE Quad-Core Smartphone w/ Dual 12MP Camera - Black (Renewed)",28
B06X9FL2PW,"Apple iPhone SE 16GB GSM Unlocked Phone - Rose Gold (Renewed)",17
B06X9HVVC5,"Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White",119
B06X9WY6P6,"Apple iPhone SE 16GB GSM Unlocked Phone - Space Gray (Renewed)",14
B06X9XVGY9,"Apple iPhone SE, 16GB, Silver - Unlocked (Renewed)",9
B06XD2NLFS,"Motorola Moto Z Play (XT1635) 32GB GSM Unlocked Android Smartphone, Black (Renewed)",9
B06XHV6HWL,"Samsung Galaxy S6 G920A 64GB Unlocked GSM - Gold (Renewed)",3
B06XR1K6HR,"Apple iPhone 6s Plus 64GB Unlocked GSM 4G LTE Phone - Rose Gold (Renewed)",37
B06XR2D5S1,"Apple iPhone 7 256GB Unlocked GSM Quad-Core Phone - Black (Renewed)",8
B06XRG6S73,"Apple iPhone 6S 16GB, Rose Gold Smartphone - GSM Unlocked (Renewed)",82
B06XRGN22N,"Apple iPhone 6 16GB Unlocked GSM Phone w/ 8MP Camera - Space Gray (Renewed)",41
B06XRJQX91,"Apple iPhone 6s 64GB Unlocked GSM 4G LTE Dual-Core Phone w/ 12 MP Camera - Rose Gold (Renewed)",73
B06XRJXL3R,"Apple iPhone 7 Plus 256GB Unlocked GSM Quad-Core Phone - Black (Renewed)",10
B06XS2GWFC,"Samsung Galaxy J7 - Verizon Carrier Locked No Contract Prepaid Smartphone",201
B06XS2X4XL,"Apple iPhone 7 Plus 32GB Unlocked GSM Phone - Rose Gold (Renewed)",26
B06XS4978K,"Apple iPhone 7 Plus 32GB Unlocked GSM 4G LTE Quad-Core Smartphone - Black (Renewed)",11
B06XS98LMS,"Samsung G550T GSM 4G LTE Unlocked Galaxy ON5 Smartphone",24
